0,100
1,98
2,95
3,93
4,91
5,88
6,85
7,83
8,81
9,78
10,75
11,73
12,71
13,68
14,66
15,63
16,61
17,59
18,56
19,53
20,51
21,49
22,46
23,43
24,41
25,39
26,37
27,34
28,31
29,29
30,27
31,24
32,21
33,19
34,17
35,15
36,12
37,9
38,7
39,5
40,2
41,0
