0,100
1,99
2,99
3,98
4,98
5,97
6,97
7,96
8,95
9,95
10,94
11,93
12,93
13,92
14,91
15,91
16,90
17,90
18,89
19,89
20,88
21,87
22,87
23,86
24,85
25,85
26,84
27,84
28,83
29,83
30,82
31,81
32,81
33,80
34,79
35,79
36,78
37,78
38,77
39,76
40,76
41,75
42,75
43,74
44,73
45,73
46,72
47,71
48,71
49,70
50,70
51,69
52,69
53,68
54,67
55,67
56,66
57,65
58,65
59,64
60,64
61,63
62,62
63,62
64,61
65,61
66,60
67,59
68,59
69,58
70,57
71,57
72,56
73,56
74,55
75,55
76,54
77,53
78,53
79,52
80,51
81,51
82,50
83,50
84,49
85,49
86,48
87,47
88,47
89,46
90,45
91,45
92,44
93,43
94,43
95,42
96,42
97,41
98,41
99,40
100,39
101,39
102,38
103,37
104,37
105,36
106,36
107,35
108,35
109,34
110,33
111,33
112,32
113,31
114,31
115,30
116,29
117,29
118,29
119,28
120,27
121,27
122,26
123,25
124,25
125,24
126,23
127,23
128,22
129,22
130,21
131,21
132,20
133,19
134,19
135,18
136,17
137,17
138,16
139,15
140,15
141,15
142,14
143,13
144,13
145,12
146,11
147,11
148,10
149,9
150,9
151,8
152,8
153,7
154,7
155,6
156,5
157,5
158,4
159,3
160,3
161,2
162,1
163,1
164,1
165,0
